Age,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome,Attrition
38,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,A,D,Single,3944,Yes,6,C,3,2,1,2,2,No
24,Non-Travel,Research & Development,Other,A,Female,D,B,C,Divorced,4011,No,5,B,4,2,1,3,11,No
36,Travel_Rarely,Sales,Life Sciences,C,Male,B,A,A,Single,3407,No,10,C,5,3,0,3,9,Yes
34,Travel_Rarely,Research & Development,Life Sciences,A,Female,C,C,B,Single,11994,No,13,C,12,6,2,11,7,No
21,Travel_Rarely,Research & Development,Life Sciences,C,Male,C,A,D,Single,1232,No,0,C,0,0,0,0,15,No
34,Travel_Rarely,Research & Development,Medical,B,Male,C,A,A,Single,2960,No,8,C,4,2,1,3,6,Yes
53,Travel_Rarely,Research & Development,Other,C,Female,C,D,C,Divorced,19094,No,26,B,14,13,4,8,5,No
32,Travel_Frequently,Research & Development,Life Sciences,B,Female,A,A,A,Single,3919,Yes,10,C,10,2,6,7,16,Yes
42,Travel_Rarely,Sales,Marketing,C,Male,C,B,B,Married,6825,No,10,C,9,7,4,2,8,No
44,Travel_Rarely,Research & Development,Medical,A,Female,B,C,D,Married,10248,No,24,C,22,6,5,17,7,No
46,Travel_Rarely,Sales,Marketing,B,Female,C,D,A,Single,18947,No,22,B,2,2,2,1,2,No
33,Travel_Rarely,Research & Development,Medical,C,Male,C,A,D,Single,2496,No,7,C,1,1,0,0,2,No
44,Travel_Rarely,Research & Development,Other,D,Male,C,B,D,Married,6465,Yes,9,D,4,2,1,3,10,No
30,Travel_Rarely,Research & Development,Medical,D,Male,B,A,C,Single,2206,No,10,C,10,0,1,8,9,No
39,Travel_Rarely,Sales,Technical Degree,D,Male,C,B,D,Married,2086,No,19,D,1,0,0,0,5,Yes
24,Travel_Rarely,Research & Development,Medical,B,Male,C,A,D,Married,2293,Yes,6,B,2,0,2,0,1,Yes
43,Travel_Rarely,Research & Development,Medical,D,Female,D,A,C,Divorced,2645,No,6,B,5,3,1,4,2,No
50,Travel_Rarely,Sales,Marketing,A,Male,B,A,C,Married,2683,Yes,3,C,3,2,0,2,3,Yes
35,Travel_Rarely,Sales,Marketing,D,Female,C,A,D,Married,2014,No,2,C,2,2,2,2,2,No
36,Travel_Rarely,Research & Development,Life Sciences,B,Female,B,A,A,Married,3419,Yes,6,D,1,1,0,0,5,No
33,Travel_Frequently,Sales,Life Sciences,C,Female,D,B,A,Married,5376,No,10,C,5,3,1,3,1,No
35,Travel_Rarely,Research & Development,Other,C,Male,C,A,D,Divorced,1951,No,1,C,1,0,0,0,4,No
27,Travel_Rarely,Research & Development,Life Sciences,D,Female,C,A,A,Divorced,2341,No,1,C,1,0,0,0,2,No
26,Travel_Rarely,Research & Development,Life Sciences,A,Male,A,A,C,Single,2293,No,1,B,1,0,0,1,25,Yes
27,Travel_Frequently,Sales,Life Sciences,D,Male,C,C,C,Single,8726,No,9,C,9,8,1,7,8,No
30,Travel_Frequently,Research & Development,Medical,C,Female,C,B,D,Single,4011,No,12,C,12,8,3,7,1,No
41,Travel_Rarely,Research & Development,Technical Degree,B,Female,C,D,C,Married,19545,No,23,C,22,15,15,8,12,Yes
34,Non-Travel,Sales,Marketing,B,Male,C,B,C,Single,4568,No,10,C,9,5,8,7,23,No
37,Travel_Rarely,Research & Development,Life Sciences,B,Male,C,A,B,Married,3022,No,8,C,1,0,0,0,19,No
46,Travel_Frequently,Sales,Marketing,A,Male,C,B,D,Single,5772,Yes,14,C,9,6,0,8,5,No
35,Travel_Rarely,Research & Development,Life Sciences,D,Male,D,A,D,Married,2269,No,1,C,1,0,0,1,8,No
48,Travel_Rarely,Research & Development,Life Sciences,A,Male,B,C,C,Single,5381,Yes,23,C,1,0,0,0,1,Yes
28,Travel_Rarely,Research & Development,Technical Degree,C,Male,C,A,C,Single,3441,Yes,2,B,2,2,2,2,5,Yes
44,Travel_Rarely,Sales,Marketing,B,Female,C,B,A,Divorced,5454,Yes,9,B,4,3,1,3,1,No
35,Non-Travel,Research & Development,Medical,C,Male,B,C,A,Married,9884,Yes,10,C,4,0,2,3,11,No
26,Travel_Rarely,Sales,Marketing,C,Female,B,B,D,Married,4157,Yes,5,B,2,2,0,0,23,No
33,Travel_Frequently,Research & Development,Life Sciences,A,Female,C,C,D,Single,13458,Yes,15,C,15,14,8,12,1,No
35,Travel_Frequently,Sales,Life Sciences,B,Male,C,C,A,Married,9069,No,9,B,9,8,1,8,18,No
35,Travel_Rarely,Research & Development,Medical,C,Female,C,A,A,Married,4014,Yes,4,C,2,2,2,2,23,No
31,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,B,D,Divorced,5915,No,10,B,7,7,1,7,7,No
37,Travel_Rarely,Research & Development,Life Sciences,A,Male,B,B,C,Divorced,5993,No,7,D,7,5,0,7,1,No
32,Travel_Rarely,Research & Development,Medical,A,Male,C,B,D,Married,6162,Yes,9,C,9,8,7,8,1,No
38,Travel_Frequently,Research & Development,Life Sciences,D,Female,C,B,D,Single,2406,No,10,C,10,3,9,9,29,No
50,Travel_Rarely,Research & Development,Medical,B,Female,B,D,C,Divorced,18740,Yes,29,B,27,3,13,8,7,No
59,Travel_Rarely,Sales,Life Sciences,A,Female,C,C,A,Single,7637,No,28,B,21,16,7,9,25,No
36,Travel_Rarely,Research & Development,Technical Degree,C,Female,C,C,C,Divorced,10096,No,17,C,17,14,12,8,8,No
55,Travel_Rarely,Research & Development,Medical,D,Female,C,D,C,Divorced,14756,Yes,21,C,5,0,0,2,8,No
36,Travel_Frequently,Research & Development,Life Sciences,B,Male,B,B,B,Single,6499,No,6,C,6,5,0,3,11,No
45,Travel_Rarely,Research & Development,Life Sciences,B,Male,C,C,A,Divorced,9724,No,25,C,1,0,0,0,7,No
35,Travel_Frequently,Research & Development,Medical,B,Male,C,A,A,Married,2194,No,5,B,3,2,1,2,1,No
36,Travel_Rarely,Research & Development,Medical,D,Male,B,A,C,Married,3388,Yes,2,B,1,0,0,0,9,Yes
59,Travel_Frequently,Sales,Life Sciences,A,Female,B,B,C,Single,5473,No,20,B,4,3,1,3,1,No
29,Travel_Rarely,Research & Development,Life Sciences,C,Male,C,A,B,Married,2703,No,6,C,5,4,0,4,2,No
31,Travel_Rarely,Research & Development,Medical,C,Male,C,A,B,Single,2501,No,1,C,1,1,1,0,1,No
32,Travel_Rarely,Research & Development,Life Sciences,B,Male,C,B,B,Married,6220,No,10,C,10,4,0,9,1,No
36,Travel_Rarely,Research & Development,Life Sciences,B,Female,D,A,D,Married,3038,No,5,C,1,0,0,0,6,No
31,Travel_Rarely,Research & Development,Life Sciences,C,Female,C,B,D,Single,4424,No,11,C,11,7,1,8,8,No
35,Travel_Rarely,Sales,Marketing,C,Male,B,B,A,Single,4312,No,16,C,15,13,2,8,1,No
45,Travel_Rarely,Research & Development,Other,D,Male,C,C,A,Married,13245,Yes,17,D,0,0,0,0,6,No
37,Travel_Rarely,Research & Development,Medical,A,Male,C,C,C,Single,13664,No,16,D,5,2,0,2,7,No
46,Travel_Rarely,Human Resources,Medical,B,Male,C,B,B,Divorced,5021,Yes,16,C,4,2,0,2,5,No
30,Travel_Rarely,Research & Development,Life Sciences,D,Male,B,B,D,Married,5126,Yes,10,B,10,8,3,0,1,No
35,Travel_Rarely,Research & Development,Medical,B,Male,B,A,C,Single,2859,No,6,C,6,4,0,4,1,No
55,Travel_Rarely,Sales,Life Sciences,A,Male,C,C,D,Married,10239,No,24,C,1,0,1,0,1,No
38,Non-Travel,Research & Development,Medical,B,Female,A,B,D,Divorced,5329,Yes,17,C,13,11,1,9,6,No
34,Travel_Rarely,Research & Development,Medical,A,Male,C,B,B,Married,4325,No,5,C,5,2,1,3,1,No
56,Travel_Rarely,Research & Development,Life Sciences,D,Male,A,C,D,Single,7260,No,37,B,6,4,0,2,7,No
23,Travel_Rarely,Sales,Technical Degree,C,Male,C,A,A,Divorced,2322,No,3,C,0,0,0,0,2,No
51,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,A,D,Married,2075,No,10,C,4,2,0,3,9,No
30,Travel_Rarely,Research & Development,Life Sciences,C,Male,B,B,D,Married,4152,No,11,C,11,10,10,8,2,No
46,Travel_Rarely,Sales,Medical,C,Male,B,C,D,Single,9619,No,9,C,9,8,4,7,9,Yes
40,Travel_Frequently,Research & Development,Life Sciences,C,Male,B,D,B,Married,13503,No,22,B,22,3,11,11,1,No
51,Travel_Rarely,Sales,Marketing,C,Male,C,B,D,Single,5441,Yes,11,A,10,7,1,0,21,No
30,Travel_Rarely,Sales,Medical,C,Female,B,B,B,Divorced,5209,Yes,11,B,11,8,2,7,4,No
46,Travel_Frequently,Research & Development,Medical,C,Male,B,C,A,Married,10673,Yes,21,B,10,9,9,5,1,No
32,Travel_Rarely,Sales,Medical,B,Male,C,B,C,Single,5010,No,12,C,11,8,5,7,6,No
54,Travel_Rarely,Research & Development,Technical Degree,A,Female,C,C,C,Married,13549,No,16,A,4,3,0,3,2,No
24,Travel_Rarely,Sales,Other,A,Female,C,B,C,Married,4999,No,4,B,3,2,0,2,3,No
28,Non-Travel,Sales,Medical,B,Male,C,B,C,Married,4221,No,5,D,5,4,0,4,4,No
58,Travel_Rarely,Sales,Medical,D,Male,C,D,C,Single,13872,No,38,B,37,10,1,8,10,No
44,Non-Travel,Research & Development,Medical,B,Male,C,B,B,Married,2042,No,17,D,3,2,1,2,23,No
37,Travel_Rarely,Human Resources,Human Resources,C,Male,C,A,A,Divorced,2073,Yes,7,C,3,2,0,2,6,Yes
32,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,A,A,Single,2956,No,1,C,1,0,0,0,1,No
20,Travel_Frequently,Research & Development,Life Sciences,D,Female,B,A,D,Single,2926,Yes,1,C,1,0,1,0,6,Yes
34,Travel_Rarely,Research & Development,Other,A,Female,C,B,C,Single,4809,No,16,C,16,13,2,10,6,No
37,Non-Travel,Research & Development,Life Sciences,C,Male,B,B,D,Divorced,5163,No,17,D,1,0,0,0,2,No
59,Non-Travel,Human Resources,Human Resources,C,Female,B,D,D,Married,18844,No,30,C,3,2,2,2,2,No
50,Travel_Frequently,Research & Development,Life Sciences,A,Female,C,D,B,Married,18172,Yes,28,B,8,3,0,7,1,No
25,Travel_Rarely,Sales,Marketing,C,Male,B,B,C,Single,5744,Yes,6,C,6,4,0,3,5,Yes
25,Travel_Rarely,Research & Development,Medical,D,Male,B,A,D,Married,2889,No,2,C,2,2,2,1,7,No
22,Travel_Rarely,Research & Development,Medical,B,Female,C,A,D,Single,2871,No,1,C,0,0,0,0,15,No
51,Travel_Frequently,Research & Development,Medical,A,Female,B,C,A,Single,7484,No,23,B,13,12,12,8,1,No
34,Travel_Frequently,Research & Development,Life Sciences,A,Male,A,B,C,Single,6074,Yes,9,C,9,7,0,6,7,Yes
54,Non-Travel,Human Resources,Human Resources,D,Female,D,D,D,Single,17328,Yes,23,C,5,3,4,4,26,No
24,Travel_Rarely,Research & Development,Life Sciences,B,Male,C,A,C,Married,2774,No,6,C,5,3,1,2,18,No
34,Travel_Rarely,Research & Development,Life Sciences,C,Female,B,B,B,Divorced,4505,No,12,C,1,0,0,0,6,No
37,Travel_Rarely,Sales,Life Sciences,C,Male,C,C,D,Single,7428,No,12,C,5,3,1,3,3,No
34,Travel_Rarely,Research & Development,Medical,C,Female,B,C,A,Single,11631,No,14,C,11,10,5,8,5,No
36,Travel_Frequently,Sales,Technical Degree,B,Female,C,C,D,Married,9738,No,10,C,9,7,2,8,11,No
36,Travel_Rarely,Research & Development,Life Sciences,A,Female,C,A,D,Divorced,2835,No,7,C,1,0,0,0,3,No
43,Travel_Frequently,Sales,Life Sciences,C,Male,C,D,D,Married,16959,Yes,25,D,25,12,4,12,26,No
30,Travel_Frequently,Research & Development,Life Sciences,A,Male,A,A,C,Divorced,2613,No,10,B,10,7,0,9,23,No
33,Non-Travel,Sales,Marketing,C,Male,C,B,B,Married,6146,No,8,D,7,7,0,7,22,No
56,Travel_Rarely,Research & Development,Life Sciences,B,Female,C,A,B,Married,4963,Yes,7,C,5,4,4,3,14,Yes
51,Travel_Rarely,Research & Development,Life Sciences,A,Male,C,D,C,Single,19537,No,23,C,20,18,15,15,6,No
31,Travel_Rarely,Sales,Life Sciences,B,Male,A,B,C,Married,6172,Yes,12,B,7,7,7,7,6,Yes
26,Travel_Rarely,Research & Development,Other,C,Female,B,A,B,Married,2368,No,5,B,5,4,4,3,6,No
58,Travel_Rarely,Research & Development,Medical,D,Female,C,C,D,Married,10312,No,40,B,40,10,15,6,23,Yes
19,Travel_Rarely,Sales,Marketing,D,Male,C,A,C,Single,1675,Yes,0,B,0,0,0,0,22,Yes
22,Travel_Rarely,Research & Development,Technical Degree,C,Male,C,A,D,Married,2523,No,3,C,2,1,2,1,2,No
49,Travel_Rarely,Research & Development,Medical,C,Female,C,B,A,Married,6567,No,16,B,15,11,5,11,20,No
43,Travel_Frequently,Research & Development,Medical,B,Female,D,A,C,Single,4739,No,18,C,3,2,1,2,28,No
50,Travel_Frequently,Sales,Marketing,C,Female,C,C,D,Single,9208,No,16,C,2,2,2,1,12,No
31,Travel_Rarely,Sales,Life Sciences,B,Female,A,B,C,Married,4559,Yes,4,C,2,2,2,2,20,Yes
41,Travel_Rarely,Sales,Life Sciences,C,Male,C,C,C,Divorced,8189,Yes,12,C,9,7,0,7,9,No
26,Travel_Rarely,Human Resources,Life Sciences,C,Female,C,A,C,Married,2942,No,8,C,8,7,5,7,25,No
36,Travel_Rarely,Research & Development,Medical,B,Male,C,B,B,Divorced,4941,No,7,C,3,2,0,1,6,No
51,Travel_Frequently,Research & Development,Life Sciences,A,Male,A,C,D,Single,10650,No,18,C,4,2,0,3,8,Yes
39,Travel_Rarely,Sales,Life Sciences,D,Female,B,B,C,Married,5902,No,17,D,15,11,5,9,4,No
25,Travel_Rarely,Sales,Life Sciences,A,Male,B,B,C,Married,8639,No,6,C,2,2,2,2,28,No
30,Travel_Rarely,Human Resources,Human Resources,C,Male,C,B,D,Married,6347,Yes,12,A,11,9,4,7,9,No
32,Travel_Rarely,Research & Development,Medical,A,Female,C,A,A,Single,4200,No,10,D,5,4,0,4,9,Yes
45,Travel_Rarely,Research & Development,Medical,C,Male,C,A,D,Single,3452,No,9,B,6,5,0,3,29,No
38,Travel_Rarely,Research & Development,Technical Degree,D,Female,C,B,C,Single,4317,Yes,19,C,3,2,2,2,3,No
30,Travel_Rarely,Research & Development,Life Sciences,A,Female,C,A,C,Single,2632,No,5,B,5,4,0,4,18,No
32,Travel_Frequently,Sales,Medical,D,Male,A,B,D,Divorced,4668,No,9,D,8,7,0,7,9,No
30,Travel_Rarely,Research & Development,Technical Degree,D,Female,C,A,A,Divorced,3204,No,8,C,3,2,2,2,5,No
30,Travel_Rarely,Research & Development,Medical,B,Male,B,A,D,Single,2720,No,6,C,5,3,1,2,2,No
41,Travel_Frequently,Research & Development,Life Sciences,D,Male,B,D,A,Divorced,17181,No,21,B,7,6,7,7,10,No
41,Travel_Rarely,Research & Development,Life Sciences,C,Male,C,A,A,Married,2238,No,7,C,5,0,1,4,9,No
19,Travel_Rarely,Research & Development,Medical,B,Female,C,A,B,Single,1483,No,1,C,1,0,0,0,3,No
40,Travel_Frequently,Research & Development,Medical,B,Female,C,B,B,Divorced,5605,No,20,C,20,7,2,13,26,No
35,Travel_Rarely,Sales,Marketing,C,Male,C,C,B,Married,7295,No,10,C,10,8,0,6,1,No
53,Travel_Rarely,Sales,Marketing,B,Male,C,B,C,Married,2306,Yes,13,A,7,7,4,5,6,No
45,Travel_Rarely,Research & Development,Life Sciences,B,Male,C,B,B,Divorced,2348,No,20,A,17,9,0,15,9,No
32,Travel_Frequently,Sales,Marketing,B,Female,C,C,D,Single,8998,No,9,C,9,8,3,7,8,No
29,Non-Travel,Research & Development,Technical Degree,D,Male,C,B,C,Married,4319,No,10,C,10,7,0,9,1,No
51,Travel_Rarely,Research & Development,Medical,B,Male,B,B,C,Married,6132,No,10,C,1,0,0,0,7,No
58,Travel_Rarely,Research & Development,Medical,B,Female,B,A,B,Married,3346,Yes,9,B,1,0,0,0,9,No
40,Travel_Rarely,Sales,Marketing,C,Male,B,C,D,Married,10855,No,15,B,12,11,2,11,4,No
34,Travel_Frequently,Sales,Marketing,C,Female,C,A,C,Married,2231,No,6,C,4,3,1,2,2,No
22,Travel_Rarely,Research & Development,Medical,C,Male,C,A,D,Married,2323,No,2,C,2,2,2,2,19,No
27,Non-Travel,Research & Development,Medical,D,Male,C,A,B,Divorced,2024,No,6,A,2,2,2,2,9,No
28,Travel_Rarely,Research & Development,Medical,C,Male,C,A,D,Married,2713,No,5,A,5,2,0,2,21,No
57,Travel_Rarely,Research & Development,Life Sciences,C,Male,D,C,D,Divorced,9439,Yes,12,A,5,3,1,4,24,No
27,Non-Travel,Research & Development,Medical,C,Male,B,A,C,Divorced,2566,Yes,1,B,1,1,0,1,3,No
50,Travel_Rarely,Research & Development,Life Sciences,C,Female,C,D,B,Single,19926,No,21,C,5,4,4,4,11,No
41,Travel_Rarely,Research & Development,Life Sciences,A,Male,C,A,C,Divorced,2451,No,13,C,9,8,1,8,14,No
30,Travel_Rarely,Sales,Life Sciences,B,Female,C,C,D,Married,9419,No,12,C,10,9,7,4,5,No
38,Travel_Rarely,Sales,Life Sciences,A,Female,B,B,D,Single,8686,No,12,D,8,3,0,7,1,No
32,Travel_Rarely,Research & Development,Life Sciences,C,Male,C,A,C,Single,3038,No,8,C,5,4,1,4,6,No
27,Travel_Rarely,Research & Development,Technical Degree,C,Male,C,A,B,Married,3058,Yes,6,B,5,2,1,1,17,No
19,Travel_Frequently,Sales,Technical Degree,C,Female,A,A,A,Single,2325,No,1,D,0,0,0,0,1,Yes
36,Travel_Frequently,Research & Development,Medical,D,Male,C,A,B,Single,2088,No,13,B,8,7,7,2,3,No
30,Non-Travel,Research & Development,Medical,C,Male,C,B,A,Divorced,3072,No,12,C,12,9,6,10,9,No
45,Travel_Rarely,Sales,Life Sciences,C,Female,C,B,A,Divorced,5006,Yes,9,D,5,4,0,3,4,No
56,Travel_Rarely,Research & Development,Life Sciences,C,Female,C,A,A,Divorced,4257,Yes,19,C,2,2,2,2,8,No
33,Travel_Rarely,Research & Development,Life Sciences,C,Male,C,A,D,Single,2500,No,4,D,3,1,0,2,2,No
19,Travel_Rarely,Research & Development,Life Sciences,B,Male,B,A,D,Single,1102,No,1,B,1,0,1,0,2,Yes
46,Travel_Rarely,Sales,Marketing,B,Female,C,C,A,Divorced,10453,No,24,C,24,13,15,7,1,No
38,Travel_Rarely,Research & Development,Life Sciences,C,Female,C,A,D,Single,2288,No,2,C,2,2,2,1,9,No
31,Travel_Rarely,Research & Development,Medical,C,Female,C,A,D,Married,3929,Yes,7,C,4,2,0,2,12,No
34,Travel_Rarely,Research & Development,Medical,D,Female,C,A,B,Single,2311,No,9,C,3,2,1,2,27,No
41,Travel_Rarely,Sales,Marketing,B,Female,C,A,B,Single,3140,Yes,4,B,4,3,0,2,20,Yes
50,Travel_Rarely,Research & Development,Medical,C,Male,B,A,C,Married,3690,No,5,B,3,2,0,2,1,No
53,Travel_Rarely,Research & Development,Medical,D,Female,D,B,A,Divorced,4450,No,5,C,4,2,1,3,13,No
33,Travel_Rarely,Research & Development,Medical,D,Female,C,A,B,Married,2756,No,8,C,8,7,1,6,14,No
40,Travel_Rarely,Research & Development,Medical,D,Female,C,D,C,Married,19033,No,21,C,20,8,9,9,4,No
55,Travel_Rarely,Research & Development,Medical,C,Male,D,D,B,Single,18722,No,36,C,24,15,2,15,14,No
34,Travel_Frequently,Research & Development,Life Sciences,D,Male,B,B,C,Married,9547,No,10,B,10,9,1,9,2,No
51,Travel_Rarely,Research & Development,Medical,D,Female,C,D,B,Single,13734,No,21,C,7,7,1,0,3,No
52,Travel_Rarely,Research & Development,Life Sciences,C,Male,B,D,C,Married,19999,No,34,C,33,18,11,9,1,No
27,Travel_Rarely,Research & Development,Medical,D,Female,C,A,B,Single,2279,No,7,B,7,7,0,3,9,No
35,Travel_Rarely,Research & Development,Life Sciences,B,Male,B,B,C,Married,5916,Yes,8,C,1,0,0,1,23,Yes
43,Non-Travel,Research & Development,Medical,D,Male,D,A,D,Divorced,2089,No,7,D,5,4,2,2,7,No
45,Non-Travel,Research & Development,Medical,A,Male,B,D,D,Married,16792,No,22,C,20,8,11,8,2,No
37,Travel_Rarely,Research & Development,Life Sciences,B,Male,D,A,A,Married,3564,Yes,8,B,8,7,1,7,21,No
35,Travel_Frequently,Research & Development,Medical,B,Female,C,B,B,Single,4425,No,10,C,6,2,1,2,2,No
42,Non-Travel,Research & Development,Medical,C,Female,C,B,C,Divorced,5265,No,11,C,5,3,0,2,21,No
38,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,B,C,Married,6553,No,14,C,1,0,0,0,2,No
38,Travel_Rarely,Research & Development,Technical Degree,D,Male,C,B,D,Married,6261,No,9,A,7,7,1,7,29,No
27,Travel_Frequently,Research & Development,Technical Degree,C,Male,B,B,A,Married,4298,No,6,C,2,2,2,0,1,No
49,Non-Travel,Research & Development,Life Sciences,D,Male,C,B,D,Divorced,6804,Yes,7,C,7,7,1,7,18,No
34,Travel_Frequently,Research & Development,Medical,D,Male,C,A,C,Divorced,3815,Yes,5,D,5,3,2,0,10,No
40,Travel_Rarely,Research & Development,Medical,C,Male,C,B,D,Married,2741,Yes,15,D,7,2,3,7,19,No
38,Travel_Rarely,Research & Development,Medical,B,Male,C,B,A,Married,6673,Yes,17,C,1,0,0,0,29,Yes
29,Travel_Rarely,Sales,Marketing,B,Female,C,C,D,Married,7639,No,10,B,10,4,1,9,27,Yes
22,Travel_Rarely,Research & Development,Life Sciences,D,Male,D,A,B,Divorced,2328,Yes,4,B,4,2,2,2,5,No
36,Travel_Frequently,Research & Development,Medical,B,Female,C,A,D,Single,2153,No,8,C,8,1,1,7,18,No
40,Non-Travel,Research & Development,Life Sciences,D,Male,B,B,D,Married,4876,No,5,A,3,2,0,2,9,No
46,Travel_Rarely,Research & Development,Medical,D,Male,C,C,A,Divorced,9396,No,17,C,4,2,0,3,1,No
32,Travel_Rarely,Sales,Medical,D,Male,A,C,D,Married,10400,No,14,B,14,8,9,8,4,Yes
30,Non-Travel,Research & Development,Life Sciences,C,Male,B,C,C,Single,8474,No,12,C,11,8,5,8,1,No
27,Travel_Frequently,Sales,Life Sciences,D,Female,C,B,C,Single,9981,No,7,C,7,7,0,7,20,No
51,Travel_Rarely,Research & Development,Life Sciences,B,Male,B,C,B,Married,12490,No,16,A,10,9,4,7,8,No
30,Travel_Rarely,Research & Development,Technical Degree,D,Female,C,A,A,Single,2657,Yes,8,C,5,2,0,4,3,Yes
41,Travel_Rarely,Sales,Life Sciences,D,Female,C,C,D,Single,13591,Yes,16,C,1,0,0,0,6,No
30,Travel_Frequently,Sales,Marketing,C,Female,B,B,A,Single,6696,No,9,B,6,3,0,1,26,Yes
29,Travel_Rarely,Research & Development,Technical Degree,C,Male,C,A,C,Single,2058,No,7,B,6,2,1,5,1,Yes
45,Non-Travel,Sales,Medical,D,Female,B,C,D,Single,8865,No,23,C,19,7,12,8,6,No
54,Travel_Rarely,Sales,Marketing,D,Female,C,B,A,Married,5940,No,16,C,6,2,0,5,3,No
36,Travel_Rarely,Research & Development,Life Sciences,D,Male,C,B,B,Single,5914,No,16,D,13,11,3,7,5,No
33,Travel_Rarely,Research & Development,Medical,C,Female,B,A,B,Married,2622,No,7,C,3,2,1,1,4,No
37,Travel_Frequently,Research & Development,Other,B,Male,C,C,D,Divorced,12185,Yes,10,C,10,8,0,7,11,No
38,Travel_Rarely,Sales,Life Sciences,A,Male,C,C,C,Divorced,10609,No,17,B,16,10,5,13,3,No
31,Non-Travel,Research & Development,Medical,C,Male,A,B,C,Married,4345,No,6,C,5,4,1,4,1,No
59,Travel_Rarely,Research & Development,Life Sciences,C,Male,B,A,D,Married,2177,No,7,C,1,0,0,0,3,No
37,Travel_Frequently,Sales,Marketing,A,Male,C,A,D,Divorced,2793,No,13,C,9,8,5,8,4,No
29,Travel_Frequently,Sales,Medical,B,Female,C,C,D,Married,7918,No,11,C,11,10,4,1,1,No
35,Travel_Frequently,Sales,Marketing,C,Female,C,C,C,Single,8789,No,10,D,10,7,0,8,1,No
29,Travel_Rarely,Research & Development,Medical,C,Male,B,A,D,Single,2389,Yes,4,B,4,3,0,1,18,Yes
52,Travel_Rarely,Research & Development,Life Sciences,C,Female,B,A,D,Single,3212,No,6,B,2,2,2,2,2,No
42,Travel_Rarely,Research & Development,Technical Degree,C,Male,C,D,D,Married,19232,No,22,C,22,17,11,15,4,No
59,Travel_Rarely,Human Resources,Medical,B,Male,C,A,C,Married,2267,No,7,B,2,2,2,2,6,No
50,Travel_Rarely,Sales,Medical,D,Female,C,D,D,Divorced,19517,No,32,B,7,0,0,6,1,No
33,Travel_Rarely,Research & Development,Medical,C,Male,C,A,D,Married,2436,Yes,8,A,5,4,0,4,14,Yes
